longitude,latitude,housing_median_age,median_income,median_house_value,ocean_proximity,room_per_household,room_per_capita,bed_room_ratio,income_per_capita,age_binned_custom,distance_to_LA,distance_to_silicon_valey
-122.03,37.39,22.0,4.4107,232700.0,<1H OCEAN,4.1,1.8,0.3,0.0,Medium,504.3988666364176,2.451057948687548
-117.69,33.48,25.0,6.1815,288500.0,<1H OCEAN,6.5,2.2,0.1,0.0,Medium,81.60297990805581,587.4103061397838
-122.04,37.36,26.0,6.8753,403000.0,<1H OCEAN,7.0,2.7,0.1,0.0,Medium,502.62222732430916,3.42313105003016
-122.25,37.84,52.0,3.6912,261100.0,NEAR BAY,5.0,2.3,0.2,0.0,Old,554.2198218939106,53.020479378011075
-118.43,34.22,34.0,3.66,184600.0,<1H OCEAN,4.7,1.5,0.2,0.0,Old,25.332445557251543,480.5612037986055
-118.27,34.02,40.0,0.9234,187500.0,<1H OCEAN,2.7,0.8,0.5,0.0,Old,4.319228998073158,506.9446146844557
-118.04,33.71,12.0,6.0102,396900.0,<1H OCEAN,5.2,2.5,0.2,0.0,New,42.37754931697562,546.8557583665096
-121.91,37.29,18.0,5.3077,351400.0,<1H OCEAN,6.1,2.7,0.2,0.0,New,489.02848765041983,16.96870824635712
-124.0,40.22,16.0,1.319,70700.0,<1H OCEAN,6.4,2.6,0.3,0.0,New,854.0337533741614,356.82859882724017
-117.82,33.68,3.0,6.1395,358000.0,<1H OCEAN,5.7,2.3,0.2,0.0,New,56.93329359370764,562.8010196222663
-123.98,40.88,41.0,2.6923,84200.0,<1H OCEAN,5.1,2.0,0.2,0.0,Old,911.5100119720555,421.82857590070387
-121.99,37.26,17.0,8.2069,442500.0,<1H OCEAN,7.2,3.5,0.2,0.0,New,491.5980326458995,15.363182711964749
-120.6,37.36,27.0,3.0911,86900.0,INLAND,5.5,1.9,0.2,0.0,Medium,424.4223107609524,129.1315468940927
-118.31,33.95,43.0,3.2708,131000.0,<1H OCEAN,5.3,1.7,0.2,0.0,Old,12.885146939419066,510.37859027235413
-118.22,33.8,33.0,3.875,165100.0,NEAR OCEAN,4.5,1.1,0.2,0.0,Old,28.05999191754344,528.452996984043
-122.05,37.93,15.0,4.45,184900.0,NEAR BAY,5.0,2.6,0.2,0.0,New,550.2841640331226,60.21572859997453
-121.64,36.68,16.0,2.3463,156100.0,<1H OCEAN,4.2,1.1,0.2,0.0,New,424.51898249719386,86.86029755828046
-117.75,34.05,35.0,1.6645,93300.0,INLAND,4.1,0.9,0.3,0.0,Old,45.58364843591633,537.4968787176518
-117.25,33.21,9.0,2.066,127200.0,<1H OCEAN,4.3,1.0,0.3,0.0,New,131.24796392225608,636.9962028556372
-118.29,34.17,52.0,4.325,292600.0,<1H OCEAN,5.6,2.0,0.2,0.0,Old,13.747447097566702,493.3449339326722
-122.7,38.36,11.0,4.221,227100.0,<1H OCEAN,6.6,2.3,0.2,0.0,New,623.5892310259679,121.84710985315083
-121.49,38.58,52.0,1.4034,90300.0,INLAND,3.6,1.9,0.3,0.0,Old,580.772512109199,141.4400920404048
-122.04,36.97,30.0,5.3972,362300.0,NEAR OCEAN,6.4,2.5,0.2,0.0,Old,472.57289569790885,46.36061974298122
-122.28,37.9,52.0,4.9083,346800.0,NEAR BAY,6.7,2.8,0.1,0.0,Old,560.944978654698,60.17632179802272
-118.85,34.17,42.0,4.5625,318800.0,<1H OCEAN,7.0,2.6,0.2,0.0,Old,57.44563304492666,459.8766632630719
-122.02,37.53,21.0,5.7072,242200.0,NEAR BAY,6.3,1.9,0.2,0.0,Medium,515.109929680172,16.15979584878891
-121.47,38.61,31.0,1.6563,65800.0,INLAND,3.8,1.4,0.2,0.0,Old,582.7333266595172,145.17284706993155
-117.72,33.51,17.0,5.133,324000.0,<1H OCEAN,6.3,3.1,0.2,0.0,New,77.26299357377171,583.0704304787558
-117.31,34.35,9.0,5.0198,151900.0,INLAND,6.7,2.2,0.2,0.0,New,92.17782437439342,545.2323485893205
-121.38,38.69,35.0,2.6713,84400.0,INLAND,5.8,2.0,0.2,0.0,Old,586.4690031489251,156.32803479731425
-117.17,32.77,6.0,4.5481,164800.0,NEAR OCEAN,4.7,2.5,0.2,0.0,New,173.7743710518616,678.8272974676793
-119.12,35.39,13.0,4.5903,94300.0,INLAND,6.8,2.3,0.2,0.0,New,168.72256841258056,344.3335991059165
-117.88,33.84,31.0,3.7303,223800.0,<1H OCEAN,4.8,2.2,0.2,0.0,Old,41.04168235980106,545.9277677394191
-121.2,39.25,5.0,4.3523,188200.0,INLAND,6.4,2.4,0.2,0.0,New,634.3894063169283,219.91875983740988
-121.26,37.97,41.0,3.0352,69800.0,INLAND,5.4,2.1,0.2,0.0,Old,512.6791297158845,95.54560397704508
-117.22,34.26,16.0,4.9716,162500.0,INLAND,14.9,4.6,0.2,0.0,New,97.17385182984594,557.9834823721127
-122.47,37.51,15.0,6.7606,364300.0,NEAR OCEAN,6.4,2.2,0.2,0.0,New,541.3561797918978,38.9502510238085
-120.84,37.53,14.0,3.1523,141800.0,INLAND,5.2,1.8,0.2,0.0,New,451.60234095611395,108.87122085336469
-118.02,33.94,33.0,5.3016,192200.0,<1H OCEAN,6.1,1.8,0.2,0.0,Old,24.125336656717316,528.9966798384608
-117.68,35.6,12.0,6.0532,102800.0,INLAND,6.0,2.2,0.1,0.0,New,179.28410384812918,439.45343741576727
-118.36,33.84,35.0,5.7654,343000.0,<1H OCEAN,5.8,2.1,0.2,0.0,Old,25.876660288831808,516.7612140451783
-117.31,34.07,40.0,2.1139,70900.0,INLAND,4.3,1.5,0.2,0.0,Old,86.22017595707644,565.5123449662901
-124.16,40.79,52.0,1.7778,76900.0,NEAR OCEAN,4.5,2.1,0.2,0.0,Old,912.4177776622086,419.21746702527685
-122.42,38.27,25.0,4.5313,308400.0,NEAR BAY,6.8,2.6,0.2,0.0,Medium,600.0535112553359,103.01891069720007
-124.13,40.8,31.0,2.2478,81100.0,NEAR OCEAN,5.1,1.7,0.2,0.0,Old,911.7926283779844,419.09679260000235
-122.02,37.59,18.0,3.6923,213200.0,NEAR BAY,3.7,1.4,0.3,0.0,New,520.0298891985816,22.718206289957855
-118.31,34.02,23.0,1.3187,127100.0,<1H OCEAN,4.7,1.3,0.2,0.0,Medium,7.08818964813723,504.5064293558877
-120.85,37.77,20.0,2.0833,77300.0,INLAND,4.3,1.5,0.2,0.0,Medium,474.82991003301873,114.79837007833824
-122.24,38.31,38.0,6.1089,280800.0,NEAR BAY,6.8,2.4,0.2,0.0,Old,593.5305533861003,103.64373881539056
-121.8,37.26,26.0,4.8862,195000.0,<1H OCEAN,4.4,1.4,0.2,0.0,Medium,479.89732956581264,26.85369982729786
-122.42,37.75,52.0,3.3555,275000.0,NEAR BAY,4.0,1.5,0.3,0.0,Old,557.0815682206216,51.42269802811569
-118.29,34.03,22.0,0.7473,168800.0,<1H OCEAN,3.1,1.4,0.4,0.0,Medium,4.933814817422227,504.89091076550994
-117.93,33.72,17.0,7.6709,319500.0,<1H OCEAN,7.7,2.1,0.1,0.0,New,46.90302852424198,552.7100970499091
-120.46,38.09,16.0,3.0,122600.0,INLAND,6.1,2.1,0.2,0.0,New,490.46110141895474,160.9517482888216
-117.75,33.64,9.0,5.5342,182300.0,<1H OCEAN,4.6,2.2,0.2,0.0,New,64.63892991473341,570.4396834522227
-116.86,33.05,17.0,3.6348,164500.0,<1H OCEAN,5.7,1.8,0.2,0.0,New,169.90450914391258,674.6698297703128
-117.28,34.26,18.0,3.3672,133600.0,INLAND,10.4,3.6,0.2,0.0,New,91.80829040938337,553.7505847451671
-120.99,39.22,16.0,2.8942,182500.0,INLAND,6.2,2.0,0.2,0.0,New,623.7688605207264,223.81374785635936
-117.89,33.61,16.0,6.3017,350000.0,<1H OCEAN,5.7,3.7,0.2,0.0,New,58.972196959282414,564.3392212947256
-118.21,34.07,31.0,2.1333,160200.0,<1H OCEAN,3.9,0.9,0.3,0.0,Old,3.684776174448433,506.5117924658716
-118.39,34.23,43.0,2.1518,161600.0,<1H OCEAN,3.7,1.0,0.3,0.0,Old,23.896642082935557,482.21269669231185
-121.89,37.23,20.0,8.19,361600.0,<1H OCEAN,8.2,2.5,0.1,0.0,Medium,483.00664657863854,22.935510153920056
-117.15,32.81,34.0,3.1458,178300.0,NEAR OCEAN,5.8,1.8,0.2,0.0,Old,171.24787715343467,676.6199376383448
-118.18,33.86,43.0,3.6719,161300.0,<1H OCEAN,4.5,1.6,0.2,0.0,Old,22.11725650683835,525.7867330033663
-119.46,35.13,46.0,2.1955,26900.0,INLAND,5.7,1.9,0.2,0.0,Old,163.5398304552847,342.37380529866124
-121.84,37.33,26.0,3.6765,163600.0,<1H OCEAN,4.6,0.9,0.2,0.0,Medium,487.99599461190513,20.29796845188999
-119.82,36.81,25.0,5.0698,150900.0,INLAND,6.6,2.9,0.2,0.0,Medium,337.7844784687103,208.9697918946055
-122.24,40.17,51.0,1.577,51900.0,INLAND,4.8,2.2,0.2,0.0,Old,766.0283592579839,309.2955605241199
-121.31,37.98,47.0,3.0625,141500.0,INLAND,5.5,2.8,0.2,0.0,Old,516.0086619783843,93.12362947536394
-117.3,34.12,34.0,2.0583,64800.0,INLAND,4.5,1.2,0.2,0.0,Old,87.4192405342656,562.5097088378081
-118.42,34.18,31.0,3.6745,335500.0,<1H OCEAN,4.5,1.8,0.2,0.0,Old,21.57593789941242,484.48219981609185
-122.53,37.87,20.0,7.9977,400000.0,NEAR BAY,7.2,2.8,0.2,0.0,Medium,573.4013792303653,67.87845505594883
-116.99,33.77,7.0,2.2925,113100.0,INLAND,6.1,2.9,0.2,0.0,New,120.09341712770633,609.7927996398436
-121.46,38.56,52.0,3.3348,122800.0,INLAND,4.9,2.6,0.2,0.0,Old,577.5222527364094,140.33163839774704
-120.64,36.99,23.0,2.2794,75700.0,INLAND,5.8,2.0,0.2,0.0,Medium,391.73854920071284,133.36708160853934
-122.24,38.25,33.0,4.9167,187500.0,NEAR BAY,6.5,2.3,0.2,0.1,Old,588.3303790732717,97.070667056734
-117.23,33.79,17.0,2.2969,89300.0,INLAND,4.9,1.6,0.2,0.0,New,98.14457508678393,592.0637446194288
-117.53,33.88,22.0,3.1312,91000.0,INLAND,4.6,1.2,0.2,0.0,Medium,68.67090223480764,565.2118367780041
-117.69,34.11,16.0,2.6929,119300.0,INLAND,4.9,3.1,0.2,0.0,New,51.50532837095007,536.8070746696317
-121.62,37.61,26.0,5.7239,430600.0,INLAND,6.4,2.3,0.2,0.0,Medium,498.81358670347834,45.89643315111615
-118.21,34.12,41.0,3.6845,175800.0,<1H OCEAN,3.8,1.1,0.3,0.0,Old,8.138400162129711,502.4228808105434
-118.89,34.33,23.0,3.125,375000.0,<1H OCEAN,5.5,1.4,0.2,0.0,Medium,67.07189481941364,443.7199304601345
-118.77,34.26,26.0,5.6385,196900.0,<1H OCEAN,6.5,1.7,0.2,0.0,Medium,53.72852533241282,456.7338098336768
-121.22,39.11,14.0,3.0804,156800.0,INLAND,6.2,2.1,0.2,0.0,New,621.1628460258444,204.7694198475854
-117.79,35.21,4.0,2.375,137500.0,INLAND,1.0,0.3,1.0,0.4,New,135.0083317753777,453.03931588846496
-118.27,34.06,33.0,1.9818,208300.0,<1H OCEAN,2.3,0.7,0.5,0.0,Old,2.5776634939386116,503.6270852362486
-116.94,32.84,32.0,4.5278,166300.0,<1H OCEAN,6.1,2.1,0.2,0.0,Old,181.02115926344612,686.9073852373699
-120.04,36.96,23.0,1.3713,51800.0,INLAND,4.3,1.0,0.2,0.0,Medium,361.42251902955263,185.34241748933576
-118.09,33.75,32.0,6.6188,380000.0,NEAR OCEAN,6.6,2.4,0.2,0.0,Old,36.41012292726973,540.4716815085519
-118.17,33.9,12.0,2.8681,114200.0,<1H OCEAN,4.3,1.1,0.3,0.0,New,18.204336587857977,523.0443302781541
-114.62,33.62,26.0,0.536,275000.0,INLAND,6.0,3.6,0.2,0.1,Medium,338.8058806302746,793.3529618502077
-121.84,39.72,52.0,0.9566,69000.0,INLAND,4.3,1.8,0.3,0.0,Old,705.8088908823024,259.61677167806477
-122.17,37.75,48.0,1.4375,90000.0,NEAR BAY,5.0,1.9,0.2,0.0,Old,542.080036849282,41.4426542990649
-118.37,34.16,25.0,3.6375,262500.0,<1H OCEAN,4.2,2.3,0.3,0.0,Medium,16.697098549544474,489.20843949123986
-120.83,37.51,34.0,4.601,150000.0,INLAND,6.3,2.5,0.2,0.0,Old,449.25219033350544,109.4631578709341
-121.5,38.5,29.0,3.7414,98500.0,INLAND,6.6,2.6,0.2,0.0,Old,573.6436626601851,132.8498166449014
-117.31,34.1,28.0,1.5208,69500.0,INLAND,4.4,1.2,0.3,0.0,Medium,86.34531826759998,563.2926624173264
-121.83,37.2,6.0,6.8333,348000.0,<1H OCEAN,7.0,2.4,0.2,0.0,New,476.9096445052224,28.981660717960526
-121.89,37.25,21.0,5.2887,264500.0,<1H OCEAN,6.4,2.0,0.2,0.0,Medium,484.60032828675594,21.291028435046524
-118.2,34.02,42.0,3.7543,126600.0,<1H OCEAN,4.2,0.9,0.2,0.0,Old,5.389110165579803,511.24504616692417
-117.13,34.17,17.0,5.5762,150000.0,INLAND,10.4,4.8,0.2,0.0,New,103.581744812169,570.7533044774723
-119.76,36.75,39.0,1.8641,50800.0,INLAND,4.5,1.1,0.3,0.0,Old,329.4742564073084,216.2149639102829
-118.9,34.26,5.0,6.9712,321300.0,<1H OCEAN,7.2,2.1,0.1,0.0,New,64.76174696031607,449.18792742644104
-120.19,39.35,7.0,5.0622,174100.0,INLAND,16.4,5.4,0.2,0.0,New,613.0466708770247,272.18148402880615
-124.11,40.93,17.0,2.7639,90200.0,NEAR OCEAN,4.7,1.8,0.2,0.0,New,922.4219620493366,431.4071686200926
-119.05,35.36,16.0,3.3261,118400.0,INLAND,4.7,2.0,0.2,0.0,New,162.80163900647509,351.3232193920299
-122.44,37.72,48.0,3.9565,268500.0,NEAR BAY,5.0,1.5,0.2,0.0,Old,555.9117881408633,50.04194845516565
-118.48,34.03,19.0,1.3333,310000.0,<1H OCEAN,3.3,2.2,0.3,0.0,Medium,21.95851282618834,493.4546072067703
-117.96,33.83,34.0,6.3214,220800.0,<1H OCEAN,6.3,2.0,0.2,0.0,Old,35.9909338471852,541.7563842533503
-118.4,34.19,35.0,3.0395,191300.0,<1H OCEAN,3.8,1.5,0.3,0.0,Old,21.01326355713044,484.8844477217935
-121.38,38.41,10.0,4.45,138700.0,INLAND,5.8,2.2,0.2,0.0,New,559.6582251880462,128.1830557048636
-118.44,34.0,22.0,3.1579,243100.0,<1H OCEAN,3.7,1.7,0.3,0.0,Medium,19.031757870311463,498.37856387460516
-118.3,33.99,47.0,1.9853,101100.0,<1H OCEAN,4.0,1.2,0.2,0.0,Old,8.639526693513757,507.622290980976
-120.44,34.96,30.0,3.4722,112500.0,<1H OCEAN,4.6,1.3,0.2,0.0,Old,225.42809034748578,306.1411347673348
-121.9,37.25,28.0,5.7385,240400.0,<1H OCEAN,5.5,2.0,0.2,0.0,Medium,485.21729979034205,20.682680097028516
-118.35,34.07,48.0,3.6111,450000.0,<1H OCEAN,3.8,2.1,0.3,0.0,Old,10.01012031573761,497.90074952990653
-118.11,33.82,37.0,4.375,218200.0,<1H OCEAN,5.2,2.1,0.2,0.0,Old,28.5685644390122,533.3817301555508
-122.03,36.97,51.0,2.1964,234400.0,NEAR OCEAN,4.1,1.9,0.3,0.0,Old,471.9127274096386,46.398876039840395
-117.64,34.11,16.0,2.5868,146900.0,INLAND,5.6,2.3,0.2,0.0,New,56.087202406260054,540.1403763754948
-118.14,33.97,36.0,2.6364,150000.0,<1H OCEAN,4.0,0.8,0.3,0.0,Old,13.224719795428697,519.0755240180974
-121.42,36.57,13.0,2.8775,134100.0,<1H OCEAN,4.7,1.1,0.2,0.0,New,401.78193402969043,107.01610492918829
-124.15,40.78,36.0,3.3984,90000.0,NEAR OCEAN,5.7,2.5,0.2,0.0,Old,911.022936304331,417.84765045559203
-121.81,37.25,20.0,2.0288,350000.0,<1H OCEAN,4.6,2.8,0.2,0.0,Medium,479.6974538393868,26.72365860226508
-118.13,33.79,44.0,5.0072,236200.0,NEAR OCEAN,5.9,2.3,0.2,0.0,Old,30.925543039158303,534.6916504655552
-118.2,33.94,43.0,2.5029,159700.0,<1H OCEAN,3.9,1.0,0.3,0.0,Old,13.083984517048632,517.8792017003964
-118.14,33.91,37.0,4.375,177600.0,<1H OCEAN,5.3,1.6,0.2,0.0,Old,18.45572735193665,524.0435631508534
-120.66,35.29,39.0,2.084,233300.0,NEAR OCEAN,3.6,1.9,0.3,0.0,Old,260.56143417159063,264.40206447822396
-123.21,39.15,52.0,2.55,112900.0,<1H OCEAN,6.0,2.2,0.2,0.0,Old,719.0862359047035,220.10157269436795
-121.91,36.42,14.0,3.7083,210000.0,NEAR OCEAN,6.3,2.8,0.2,0.0,New,424.65212923696987,108.17083784887849
-122.31,37.57,42.0,3.7422,292600.0,NEAR OCEAN,5.0,2.0,0.2,0.0,Old,535.9861079411469,30.150662437028217
-118.14,34.06,39.0,3.7857,245700.0,<1H OCEAN,5.7,1.9,0.2,0.0,Old,9.61301402467409,511.6950817239719
-116.45,33.8,9.0,3.6161,99100.0,INLAND,5.5,2.4,0.2,0.0,New,168.19420306433975,645.28352195271
-121.76,37.67,6.0,6.3705,350000.0,INLAND,6.5,2.5,0.2,0.0,New,511.7695870832646,40.921548930162004
-122.49,37.68,35.0,5.0659,238000.0,NEAR OCEAN,5.1,1.5,0.2,0.0,Old,555.8401745907263,50.15157173776324
-119.48,35.17,36.0,3.125,37500.0,INLAND,6.4,3.0,0.2,0.1,Old,168.02592069651436,337.86678081525986
-118.27,34.11,41.0,2.978,306800.0,<1H OCEAN,4.0,2.2,0.3,0.0,Old,6.8555337221572765,499.5045301711033
-118.23,34.1,46.0,2.2788,152900.0,<1H OCEAN,4.5,1.2,0.2,0.0,Old,5.450864311764889,502.80893039670946
-122.39,37.6,36.0,2.56,273100.0,NEAR OCEAN,3.9,1.4,0.3,0.0,Old,543.3206656435284,37.69383701868483
-121.23,37.96,37.0,1.6563,57200.0,INLAND,4.3,1.5,0.2,0.0,Old,510.317349705885,96.78191268390219
-121.26,37.99,27.0,2.3333,87500.0,INLAND,4.8,2.4,0.2,0.0,Medium,514.5439077293817,97.05461283214366
-121.49,38.56,52.0,3.6729,137800.0,INLAND,5.1,2.8,0.2,0.0,Old,578.8725867700053,139.3670755453545
-122.09,37.38,34.0,6.2884,414700.0,NEAR BAY,5.5,2.3,0.2,0.0,Old,507.3051731148392,2.9962211464319046
-119.18,34.16,27.0,3.9643,186000.0,NEAR OCEAN,4.4,1.2,0.2,0.0,Medium,87.21546209863924,442.59029151053335
-121.92,38.34,2.0,6.1112,181000.0,INLAND,7.2,2.2,0.1,0.0,New,579.2695833308663,106.41174692558091
-119.06,34.38,33.0,3.9464,230300.0,<1H OCEAN,5.5,2.0,0.2,0.0,Old,83.54926905566049,429.6119527661376
-116.39,33.69,10.0,6.9833,238800.0,INLAND,10.8,5.3,0.2,0.0,New,176.15152649454959,657.3798865404123
-118.21,33.81,43.0,3.3214,162200.0,NEAR OCEAN,4.4,1.2,0.2,0.0,Old,27.04519006158772,528.2013721751505
-120.76,38.65,17.0,3.5511,155900.0,INLAND,6.2,2.1,0.2,0.0,New,557.8925215137623,180.60056882054292
-117.96,34.06,34.0,4.4102,183200.0,<1H OCEAN,6.1,1.5,0.2,0.0,Old,26.206599076778627,523.0967242006054
-121.14,38.92,16.0,4.6771,212000.0,INLAND,6.9,2.3,0.2,0.0,New,599.1894786480498,188.1544871490634
-118.2,33.96,37.0,2.9773,164600.0,<1H OCEAN,4.4,1.1,0.3,0.0,Old,10.994971763656224,516.2143770643576
-121.58,37.01,44.0,4.3693,234000.0,INLAND,5.6,2.2,0.2,0.0,Old,446.3089421513279,59.60122943987506
